,word,definition,grouping
2753,hoodwink,to deceive or trick,verb
2754,horde,a wandering troop or gang,noun
2755,hosiery,stockings or socks of any kind,noun
2756,hospitable,cordial and generous towards guests,adjective
2757,hostility,the state of being hostile,noun
2758,hubris,"excessive pride or self-confidence, arrogance",noun
2759,huckster,"to haggle, to wrangle, or to bargain",verb
2760,hue,"a gradation or variety of a color, tint",noun
2761,humane,having regard for the health and well-being of another,adjective
2762,humanitarian,having concern for or helping to improve people's welfare,adjective
2763,humanize,"to give, cause to have the fundamental properties of a human",verb
2764,humble,"not proud or arrogant, modest",adjective
2765,humbug,to play a trick on,verb
2766,humdrum,"lacking variety, boring, dull",adjective
2767,humiliate,to injure a person's dignity and self-respect,verb
2768,hummock,an elevated tract of land above the level of a marshy region,noun
2769,humus,the dark organic material in soils,noun
2770,husbandry,the production of edible crops or of animals for food,noun
2771,hussar,one of the light cavalry of european armies,noun
2772,hustle,to rush or hurry,verb
2773,hybrid,the offspring of two animals or plants of different breeds,noun
2774,hydra,"a nine-headed serpent, which when cut off grow back as two",noun
2775,hydraulic,"operated by, or employing water or other liquids in motion",adjective
2776,hydrodynamics,the branch of fluid dynamics that deals with liquids,noun
2777,hydroelectric,generating electricity by using the energy of moving water,adjective
2778,hydrometallurgy,the technique of extracting metals with liquid solvents,noun
2779,hydrometer,an instrument for determining the gravity of a liquid,noun
2780,hydrostatics,the scientific study of fluids at rest,noun
2781,hydrous,"containing combined water, hydrated",adjective
2782,hygiene,"the science of health, its promotion and preservation",noun
2783,hyperbole,"extreme exaggeration or overstatement, a rhetorical device",noun
2784,hypercritical,meticulously or excessively critical,adjective
2785,hypnosis,an artificially induced trance state resembling sleep,noun
2786,hypnotic,of or pertaining to hypnosis or hypnotism,adjective
2787,hypnotize,to induce somebody into a state of hypnosis,verb
2788,hypochondriac,an excessive preoccupation with and worry about one's health,adjective
2789,hypocrisy,pretense of having principles that one does not really have,noun
2790,hypocrite,one whose actions are inconsistent with their claimed belief,noun
2791,hypocritical,characterized by hypocrisy or being a hypocrite,adjective
2792,hypodermic,pertaining to parts under the skin,adjective
2793,hypotenuse,the side of a right triangle opposite the right angle,noun
2794,hypothesis,a proposition given as explanation for a group of phenomena,noun
2795,hypothetical,"based upon a hypothesis, conjectural",adjective
2796,hysteria,"exhibiting uncontrollable emotion, such as fear or panic",noun
2797,ichthyic,"of, pertaining to, or like fish, piscine",adjective
2798,ichthyology,the branch of zoology dealing with fishes,noun
2799,ichthyosaur,a fishlike marine reptile of the extinct order ichthyosauria,noun
2800,icily,in an icy manner,adverb
2801,iciness,"the state or quality of being icy or very cold, frigidity",noun
2802,iconoclast,one who destroys religious images or icons,noun
2803,idealist,"a person who cherishes or pursues noble principles, etc",noun
2804,idealize,to regard something as ideal,verb
2805,ideology,"doctrine, philosophy, body of beliefs or principles",noun
2806,idiom,"a manner of speaking, a way of expressing oneself",noun
2807,idiosyncrasy,"a characteristic, habit, mannerism peculiar to an individual",noun
2808,idolatrous,worshipping idols,adjective
2809,idolatry,the religious worship of idols,noun
2810,idolize,"to make an idol of, or to worship as an idol",verb
2811,idyllic,"of or pertaining to idylls, charmingly simple or rustic",adjective
2812,ignoble,"not noble, plebeian, common",adjective
2813,ignominious,"discreditable, humiliating",adjective
2814,ignominy,"great dishonor, shame, or humiliation",noun
2815,ill-natured,"bad-tempered, irritable or malevolent",adjective
2816,illegitimate,born out of wedlock,adjective
2817,illiberal,"restrictive to individual choice and freedom, authoritarian",adjective
2818,illicit,"lacking licitness, but not invalid",adjective
2819,illimitable,"impervious to limitation, without limit",adjective
2820,illiterate,unable to read and write,adjective
2821,illogical,"contrary to logic, lacking sense or sound reasoning",adjective
2822,illuminant,something that illuminates,noun
2823,illuminate,to shine light on something,verb
2824,illumine,to illuminate,verb
2825,illusion,anything that seems to be something that it is not,noun
2826,illusive,subject to or pertaining to an illusion,adjective
2827,illusory,"resulting from an illusion, deceptive, imaginary, unreal",adjective
2828,illustrious,"highly distinguished, renowned, famous",adjective
2829,imaginary,existing only in the imagination,adjective
2830,imbibe,to drink (used frequently of alcoholic beverages),verb
2831,imbroglio,"a misunderstanding, disagreement, etc",noun
2832,imbrue,"to stain (in, with, blood, slaughter, etc )",verb
2833,imbue,to stain an object completely with some physical quality,verb
2834,imitation,the act of imitating,noun
2835,imitator,one who imitates or apes another,noun
2836,immaculate,"free from spot or stain, immaculately clean",adjective
2837,immaterial,having no matter or substance,adjective
2838,immature,"not fully formed or developed, unripe",adjective
2839,immeasurable,impossible to measure,adjective
2840,immense,"huge, gigantic, very large",adjective
2841,immerse,"to put under the surface of a liquid, to dunk",verb
2842,immigrant,of or relating to immigrants or the act of immigrating,adjective
2843,immigrate,to move into another country to stay there permanently,verb
2844,imminent,"about to happen, occur, or take place very soon",adjective
2845,immiscible,(of two or more liquids) that are not mutually soluble,adjective
2846,immoderate,"excessive or lacking, not consistent",adjective
2847,immolate,to sacrifice,verb
2848,immoral,"not moral, inconsistent with rectitude or good morals",adjective
2849,immortalize,"to bestow unending fame upon, perpetuate",verb
2850,immovable,"incapable of being physically moved, fixed",adjective
2851,immune,"exempt, not subject to",adjective
2852,immunity,the state of being insusceptible to something,noun
2853,immure,"to cloister, confine, imprison, to lock up behind walls",verb
2854,immutable,"unchangeable, changeless",adjective
2855,impair,"to weaken, to affect negatively",verb
2856,impalpable,"incapable of being perceived by touch, intangible",adjective
2857,impart,"to make known, to tell, to relate",verb
2858,impartial,"treating all parties, rivals, or disputants equally, fair",adjective
2859,impassable,"incapable of being passed over, crossed, or negotiated",adjective
2860,impasse,"a situation from which there is no escape, deadlock",noun
2861,impassible,"not allowing passage over, through, along, etc",adjective
2862,impassioned,"filled with intense emotion or passion, fervent",adjective
2863,impassive,"having, or revealing, no emotion",adjective
2864,impatience,restlessness and intolerance of delays,noun
2865,impeccable,"faultless, flawless, irreproachable",adjective
2866,impecunious,"having little or no money, poor",adjective
2867,impede,"to obstruct, hinder",verb
2868,impel,"to urge a person, to press on, to incite to action or motion",verb
2869,impend,to be about to happen or occur,verb
2870,impenitent,not feeling regret over one's sins,adjective
2871,imperative,essential,adjective
2872,imperceptible,"not perceptible, not detectable, too small to be observed",adjective
2873,imperfectible,incapable of being made perfect,adjective
2874,imperial,"related to an empire, emperor, or empress",adjective
2875,imperil,"to put into peril, to place in danger or cause a hazard",verb
2876,imperious,"domineering, arrogant, or overbearing",adjective
2877,impermissible,"not permissible, not to be permitted or allowed",adjective
2878,impersonal,"not personal, not having personality",adjective
2879,impersonate,to assume the character or appearance of,verb
2880,impersuadable,"not to be persuaded, obstinate, unyielding",adjective
2881,impertinent,"insolent, ill-mannered",adjective
2882,imperturbable,"incapable of being upset or agitated, not easily excited",adjective
2883,impervious,"not permitting penetration or passage, impenetrable",adjective
2884,impetuosity,the quality of making rash or arbitrary decisions,noun
2885,impetuous,"of, pertaining to, or characterized by sudden or rash action",adjective
2886,impetus,"something that impels, a stimulating factor",noun
2887,impiety,the state of being impious,noun
2888,impinge,"to make an impression, have an effect or impact",verb
2889,impious,"not pious or religious, lacking reverence for god, etc",adjective
2890,implacable,"not to be appeased, mollified, or pacified",adjective
2891,implausible,"not plausible, unlikely, dubious",adjective
2892,implement,"to bring about, to put into practice",verb
2893,impliable,"not pliable, inflexible, unyielding",adjective
2894,implicate,"to show to be involved, usually in an incriminating manner",verb
2895,implicit,"implied indirectly, without being directly expressed",adjective
2896,imply,to indicate or suggest without being explicitly stated,verb
2897,impolitic,"not in accordance with good policy, unwise, inexpedient",adjective
2898,importation,the act or an instance of importing,noun
2899,importunate,"to importune, or to obtain by importunity",verb
2900,importune,to harass with persistent requests,verb
2901,imposture,the action or practice of imposing fraudulently upon others,noun
2902,impotent,"lacking physical strength or vigor, weak",adjective
2903,impoverish,make poor,verb
2904,impracticable,"not practicable, impossible or difficult in practice",adjective
2905,imprecation,"the act of imprecating, or invoking evil upon someone",noun
2906,impregnate,to cause to become pregnant,verb
2907,impromptu,"improvised, without prior preparation, unplanned",adjective
2908,improper,"not proper, not strictly belonging, applicable, etc",adjective
2909,improvident,"failing to provide for the future, reckless",adjective
2910,improvise,to compose and perform without previous preparation,verb
2911,imprudent,"not prudent, wanting in prudence or discretion, indiscreet",adjective
2912,impudent,"lacking discretion, incautious, rash",adjective
2913,impugn,"to challenge as false,cast doubt upon",verb
2914,impugned,dispute the validit or honesty of a statement or motive,verb
2915,impuissance,"lacking strength, feeble, weak",noun
2916,impulsion,"the act of impelling, driving onward, or pushing",noun
2917,impunity,exemption from punishment,noun
2918,impure,"not pure, mixed with extraneous matter, contaminated",adjective
2919,impute,"to reckon as pertaining or attributable, to attribute",verb
2920,in medias res,"in the midst of things, to begin in the middle of the action",adjective
2921,inaccessible,"not able to be accessed, out of reach, inconvenient",adjective
2922,inaccurate,"mistaken or incorrect, not accurate",adjective
2923,inactive,"not active, temporarily or permanently",adjective
2924,inadequate,"not adequate, unequal to the purpose, insufficient",adjective
2925,inadmissible,"not admissible, cannot be admitted as evidence at a trial",adjective
2926,inadvertent,unintentional,adjective
2927,inadvisable,"unwise, not recommended, not prudent, not to be advised",adjective
2928,inalienable,"incapable of being alienated, surrendered, or transferred",adjective
2929,inane,"lacking sense/meaning, to the point of boredom or annoyance",adjective
2930,inanimate,lacking the quality or ability of motion,adjective
2931,inapprehensible,"that cannot be apprehended, not apprehensible",adjective
2932,inapt,"not apt, unsuitable, inept",adjective
2933,inarticulate,"lacking the ability to express oneself, esp. through speech",adjective
2934,inaudible,not able to be heard or not loud enough to be heard,adjective
2935,inaugurate,to induct into office with a formal ceremony,verb
2936,inauspicious,"not auspicious, ill-omened, unfortunate, unlucky",adjective
2937,inborn,"naturally present at birth, innate",adjective
2938,inbred,resulting from or involved in inbreeding,adjective
2939,incandescence,"intensely bright, brilliant",noun
2940,incantation,the uttering of words purporting to have magical power,noun
2941,incapacitate,to make incapable (of doing something),verb
2942,incapacity,"the lack of a capacity, an inability",noun
2943,incarcerate,"to imprison, confine",verb
2944,incarnate,"embodied in flesh, given a bodily, especially a human, form",adjective
2945,incendiary,capable of causing fire,adjective
2946,incense,to anger or infuriate,verb
2947,incentive,"something that motivates, rouses, or encourages",noun
2948,inception,"the creation or beginning of something, the establishment",noun
2949,inceptive,"beginning, of or relating to inception",adjective
2950,incessant,"continuing without interruption, ceaseless, unending",adjective
2951,inchmeal,"by inch, little by little",adverb
2952,inchoate,not yet completed or fully developed,adjective
2953,inchoative,"at the beginning, still in an unformed state",adjective
2954,incidence,the rate or range of occurrence of something,noun
2955,incident,"arising as the result of an event, inherent",adjective
2956,incidental,"loosely associated, existing as a by-product, tangent",adjective
2957,incinerate,to destroy by burning,verb
2958,incipient,"a beginning, or first stage",adjective
2959,incisal,relating to the cutting edge of the incisor and cusped teeth,adjective
2960,incise,"to cut into, cut marks, figures, etc",verb
2961,incisive,"penetrating, cutting, biting, trenchant",adjective
2962,incisor,"one of the front teeth of mammals, between the canines",noun
2963,incite,"to rouse, stir up or excite",verb
2964,incitement,"a call to act, encouragement to act",noun
2965,inclement,"stormy, of rough weather",adjective
2966,inclination,"a disposition or bent, especially of the mind or will",noun
2967,inclusive,the stated limit or extreme in consideration,adjective
2968,incoercible,"not to be coerced, incapable of being compelled or forced",adjective
2969,incoherent,"not coherent, not in a consistent fashion",adjective
2970,incombustible,"not capable of catching fire and burning, not flammable",adjective
2971,incomparable,so much better than another as to be beyond comparison,adjective
2972,incompatible,"of two things, impossible to coexist, irreconcilable",adjective
2973,incompetent,"unskilled, lacking normally expected degree of ability",adjective
2974,incomplete,"not complete, not finished, not having all its parts",adjective
2975,incomprehensible,impossible or very difficult to understand,adjective
2976,incompressible,not compressible,adjective
2977,inconceivable,"unable to be conceived, unbelievable",adjective
2978,incongruous,"out of keeping or place, inappropriate, unbecoming",adjective
2979,inconsequential,"having no consequence, of little importance",adjective
2980,inconsiderable,too trivial or unimportant to be worthy of attention,adjective
2981,inconsistent,not consistent,adjective
2982,inconspicuous,not prominent or easily noticeable,adjective
2983,inconstant,"not constant, wavering",adjective
2984,incontrovertible,"not open to question or dispute, indisputable",adjective
2985,inconvenient,not convenient,adjective
2986,incorrigible,"not corrigible, bad beyond correction or reform",adjective
2987,incredulity,"unwillingness or inability to believe, doubt, disbelief",noun
2988,incredulous,"skeptical, disbelieving, or unable to believe",adjective
2989,increment,"to increase by steps or by a step, especially by one",verb
2990,incubus,an evil spirit supposed to oppress people while asleep,noun
2991,inculcate,"to implant by repeated statement, teach persistently",verb
2992,incumbent,"holding an indicated position, role, office, etc",adjective
2993,incursion,"a hostile entrance into or invasion of a place, a raid",noun
2994,indefatigable,extremely persistent and untiring,adjective
2995,indefensible,"not defensible, not capable of being defended, vulnerable",adjective
2996,indefinite,"not definite, without fixed or specified limit",adjective
2997,indelible,"making marks that cannot be erased, removed, or the like",adjective
2998,indemnify,"to compensate for damage or loss sustained, expense, etc",verb
2999,indemnity,obligation upon an individual to incur the losses of another,noun
3000,indescribable,"impossible, or very difficult to describe",adjective
3001,indestructible,"not destructible, incapable of being destroyed, invincible",adjective
3002,indicant,"something that indicates, indicator",noun
3003,indicator,a person or thing that indicates something,noun
3004,indict,"to accuse of wrongdoing, charge",verb
3005,indictment,a formal accusation initiating a criminal case,noun
3006,indifferent,"not caring, apathetic",adjective
3007,indigence,extreme poverty or destitution,noun
3008,indigenous,"born or engendered in, native to a land or region",adjective
3009,indigent,"lacking food, clothing, etc because of poverty",adjective
3010,indigestible,difficult or impossible to digest,adjective
3011,indigestion,a common medical condition often caused by eating quickly,noun
3012,indignant,"showing anger or indignation, esp. at something unjust",adjective
3013,indignity,an injury to a person's dignity,noun
3014,indiscernible,"not discernible, that cannot be seen or perceived clearly",adjective
3015,indiscreet,"not discreet, lacking prudence or circumspection",adjective
3016,indiscriminate,"not discriminating, lacking in care, judgment, etc",adjective
3017,indispensable,"absolutely necessary, essential, or requisite",adjective
3018,indistinct,"not clearly defined or not having a sharp outline, faint",adjective
3019,indivertible,not to be diverted or turned aside,adjective
3020,indolence,habitual laziness or sloth,noun
3021,indomitable,"that cannot be subdued or overcome, as persons or courage",adjective
3022,indubitable,"clearly true, providing no possibility of doubt",adjective
3023,induce,"to lead by persuasion or influence, incite",verb
3024,induct,"to formally or ceremoniously install in an office, position",verb
3025,inductee,a person who is inducted into an organization,noun
3026,indulge,"(often followed by ""in""): to yield to a temptation or desire",verb
3027,industrious,"working energetically and devotedly, hard-working",adjective
3028,inebriate,to cause to be drunk,verb
3029,inebriation,the state or characteristic of drunkenness,noun
3030,inedible,unfit to be eaten,adjective
3031,ineffable,incapable of being expressed or described in words,adjective
3032,inefficacious,"not able to produce the desired effect, ineffective",adjective
3033,inefficient,unable to achieve the desired result economically,adjective
3034,ineligible,"not eligible, not permitted or suitable",adjective
3035,ineluctable,"incapable of being evaded, inescapable",adjective
3036,inept,"not able to do something, not proficient",adjective
3037,inert,"unable to move or act, inanimate",adjective
3038,inertia,the property of a body that resists any change to its motion,noun
3039,inestimable,not able to be estimated as because of great scale or degree,adjective
3040,inevitable,impossible to avoid or prevent,adjective
3041,inexcusable,not excusable,adjective
3042,inexhaustible,"impossible to exhaust, unlimited",adjective
3043,inexorable,"unyielding, unalterable",adjective
3044,inexpedient,"not tending to the end desired, inadvisable, unfit, improper",adjective
3045,inexpensive,low in price,adjective
3046,inexperience,a lack of experience,noun
3047,inexplicable,"impossible to explain, not easily accounted for",adjective
3048,inexpressible,unable to be expressed,adjective
3049,inextensible,not capable of being extended,adjective
3050,inextricable,impossible to untie or disentangle,adjective
3051,infallible,"unfailing in effectiveness or operation, certain",adjective
3052,infamous,"having a bad reputation, of bad report, notoriously vile",adjective
3053,infamy,"extremely bad reputation, public reproach",noun
3054,infer,"to derive by reasoning, conclude from premises or evidence",verb
3055,inference,the act or process of inferring by deduction or induction,noun
3056,infernal,"hellish, fiendish, diabolical",adjective
3057,infest,to live in or overrun to an unwanted degree,verb
3058,infidel,a non-believer of a certain religion,noun
3059,infiltrate,"to surreptitiously penetrate, enter or gain access",verb
3060,infinite,"indefinably large, countlessly great, immense",adjective
3061,infinitesimal,"incalculably, exceedingly, or immeasurably minute",adjective
3062,infirm,"to contradict, to provide proof that something is not",verb
3063,infirmary,a place where sick or injured people are cared for,noun
3064,infirmity,"feebleness, frailty or ailment, especially due to old age",noun
3065,inflammable,"capable of burning, easily set on fire",adjective
3066,inflammatory,tending to inflame or provoke somebody,adjective
3067,inflexible,"not flexible, not capable of bending or being bent, stiff",adjective
3068,influence,"the capacity to be a compelling force on actions, behavior",
3069,influx,a flow inward or into something,noun
3070,infraction,"a minor offence, petty crime",noun
3071,infrastructure,"the basic, underlying framework of a system of organization",noun
3072,infrequent,"rarely happening or present, only occasional",adjective
3073,infringe,"break or violate a treaty, a law, a right etc",verb
3074,infuse,"to cause to become an element of something, insert or fill",verb
3075,infusion,that which is infused,noun
3076,ingenious,"displaying genius or brilliance, tending to invent",adjective
3077,ingenue,"an innocent, naïve, wholesome girl or young woman",noun
3078,ingénue,alternative spelling of ingénue,noun
3079,ingenuous,naive and trusting,adjective
3080,inglorious,"ignominious, disgraceful, not famous, obscure",adjective
3081,ingraft,"to insert, as of one plant into another, for propagation",verb
3082,ingrate,ungrateful,adjective
3083,ingratiate,to establish (oneself) in the favor or good graces of others,verb
3084,ingratitude,"a lack or absence of gratitude, thanklessness",noun
3085,inherent,naturally a part or consequence of something,adjective
3086,inhibit,"to hinder, to restrain",verb
3087,inhospitable,"not inclined to hospitality, unfriendly",adjective
3088,inhuman,of or pertaining to inhumanity and the indifferently cruel,adjective
3089,inhume,to bury in a grave,verb
3090,inimical,"adverse in tendency or effect, unfavorable, harmful",adjective
3091,inimitable,"beyond imitation, surpassing all others, matchless",adjective
3092,iniquitous,characterized by injustice or wickedness,adjective
3093,iniquity,"deviation from what is right, wickedness, gross injustice",noun
3094,initiate,"to begin, to start, to introduce",verb
3095,inject,to pump (especially fluids) into a cavity or passage,verb
3096,injunction,"the act of enjoining, the act of directing, commanding",noun
3097,inkling,a slight suspicion or hint,noun
3098,inland,"within the land, remote from the ocean",adjective
3099,inlet,"an indentation of a shoreline, small bay or arm",noun
3100,inmost,"the very deepest within, innermost",adjective
3101,innate,"existing in one from birth, inborn, native",adjective
3102,innocuous,"not harmful or injurious, harmless",adjective
3103,innovate,"to alter, to change into something new",verb
3104,innuendo,a derogatory hint or reference to a person or thing,noun
3105,innumerable,"not capable of being counted, indefinitely numerous",adjective
3106,inoculate,to introduce an antigenic substance or vaccine into the body,verb
3107,inoffensive,not offensive,adjective
3108,inopportune,unsuitable for some particular purpose,adjective
3109,inordinate,"excessive, unreasonable or inappropriate in magnitude",adjective
3110,inquire,to ask (about something),verb
3111,inquisition,an investigation or inquiry into the truth of some matter,noun
3112,inroad,"an advance into enemy territory, an attempted invasion",noun
3113,insatiable,a damaging or serious encroachment,noun
3114,inscribe,"to write or cut words onto something, to engrave",verb
3115,inscrutable,"difficult or impossible to comprehend, fathom, or interpret",adjective
3116,insecure,not secure,adjective
3117,insensible,unable to be perceived by the senses,adjective
3118,insentient,"having no consciousness or animation, not sentient",adjective
3119,inseparable,"not able to be separated, bound together permanently",adjective
3120,insidious,intended to entrap or beguile,adjective
3121,insight,"a sight or view of the interior of anything, introspection",noun
3122,insinuate,to make a way for or introduce something by subtle means,verb
3123,insipid,"without distinctive, interesting, or stimulating qualities",adjective
3124,insistent,standing or resting on something,adjective
3125,insolence,"arrogant conduct, insulting, bold behaviour or attitude",noun
3126,insolent,insulting in manner or words,adjective
3127,insomnia,a sleeping disorder that is known for inability to sleep,noun
3128,insouciant,"free from concern, worry, or anxiety, carefree, nonchalant",adjective
3129,inspector,a person employed to inspect something,noun
3130,instance,"to mention as a case or example, to refer to, to cite",verb
3131,instant,"an infinitesimal or very short space of time, a moment",adjective
3132,instigate,"to goad or urge forward, to set on, to provoke, to incite",verb
3133,instigator,a person who intentionally incites or starts something,noun
3134,instill,to cause a quality to become part of someone's nature,verb
3135,institute,to begin or initiate something,verb
3136,instructive,"conveying knowledge, information or instruction",adjective
3137,insufficient,not sufficient,adjective
3138,insular,"of, pertaining to, being, or resembling an island or islands",adjective
3139,insulate,"cover or line with material to prevent passage of heat, etc",verb
3140,insult,"to treat or speak to insolently, with contemptuous rudeness",verb
3141,insuperable,impossible to achieve or overcome or be negotiated,adjective
3142,insuppressible,that cannot be suppressed,adjective
3143,insurgence,"an uprising or rebellion, an insurrection",noun
3144,insurrection,"an organized opposition to an authority, a rebellion",noun
3145,intangible,"incapable of being perceived by the senses, incorporeal",adjective
3146,integral,"constituting a whole together, not omittable or removable",adjective
3147,integrity,adherence to moral and ethical principles,noun
3148,intellect,"the faculty of thinking, judging, abstract reasoning, etc",noun
3149,intelligible,"capable of being understood, comprehensible, clear",adjective
3150,intemperance,"lack of moderation or temperance, excess",noun
3151,intension,"intensification, increase in degree",noun
3152,intention,a course of action that a person intends to follow,noun
3153,inter,to bury in a grave,verb
3154,interact,to act one upon another,verb
3155,intercede,to plea on someone else's behalf,verb
3156,intercept,"to stop, deflect or divert (something in progress or motion)",verb
3157,intercession,an act or instance of interceding,noun
3158,intercessor,"a person who intercedes, a mediator",noun
3159,interdict,any prohibitory decree of a court or administrative officer,noun
3160,interim,"an intervening time, transitional, meantime",adjective
3161,interject,to insert something between other things,verb
3162,interlocutor,a person who takes part in dialogue or conversation,noun
3163,interloper,a person who interferes or meddles in the affairs of others,noun
3164,interlude,"an intervening episode, space, period, etc",verb
3165,intermediate,"to mediate, to be an intermediate",verb
3166,interminable,"existing or occurring without interruption or end, ceaseless",adjective
3167,intermission,"a break between two performances or sessions (concert, etc)",noun
3168,intermit,"to interrupt, to stop or cease temporarily, to suspend",verb
3169,internecine,of or pertaining to conflict or struggle within a group,adjective
3170,interpolate,to introduce (something additional) between other things,verb
3171,interpose,to insert something (or oneself) between other things,verb
3172,interpreter,one who translates the words of a speaker to the audience,noun
3173,interrogate,"to question or quiz, especially in a thorough manner",verb
3174,intersect,"to cross, to cut",verb
3175,intersperse,to mix irregularly something with something else,verb
3176,interstice,a small opening or space between objects,noun
3177,intervale,a lowly tract of land along a river,noun
3178,intervene,"to come between, or to be between, persons or things",verb
3179,intestacy,the state of dying without having made a valid will,noun
3180,intestate,to be without a valid will,adjective
3181,intestine,the lower part of the alimentary canal,noun
3182,intimacy,the state of being intimate,noun
3183,intimation,"the act of intimating, also, the thing intimated",noun
3184,intimidate,"to make timid or fearful, to inspire or affect with fear",verb
3185,intolerable,"not capable of being borne or endured, insufferable",adjective
3186,intoxicant,"an intoxicating agent, as alcohol or drugs",adjective
3187,intoxicate,to stupefy by doping with chemical substances like alcohol,verb
3188,intracellular,inside or within a cell,adjective
3189,intractable,"not easily controlled, not docile or manageable, stubborn",adjective
3190,intramural,pertaining to something within one institution,adjective
3191,intransigent,"unwilling to compromise or moderate a position, stubborn",adjective
3192,intrepid,"resolutely fearless, dauntless",adjective
3193,intricacy,the state or quality of being intricate or entangled,noun
3194,intricate,to become enmeshed or entangled,verb
3195,intrigue,to conceive or carry out a secret plan intended to harm,verb
3196,intrinsic,"innate, inherent, inseparable from itself, essential",adjective
3197,introductory,"introducing, giving a preview or idea of",adjective
3198,introgression,genes of one species introduced in the gene pool of another,noun
3199,intromit,"to send, put or let in, to introduce, to admit",verb
3200,introspect,consider one's own internal state or feelings,verb
3201,introvert,"one who focuses on their own mind, feelings, or affairs",noun
3202,intrude,to enter without permission,verb
3203,intuition,immediate cognition without the use of rational processes,noun
3204,intuitive,"doesn't require conscious thought, understood by intuition",adjective
3205,inundate,"to cover with large amounts of water, to flood",verb
3206,inundation,"an overflow, a flood",noun
3207,inure,"to come into use, take or have effect",verb
3208,inured,"to accustom to hardship, difficulty, pain, etc",verb
3209,invalid,an infirm or sickly person,noun
3210,invalidate,"to make invalid, especially applied to contract law",verb
3211,invaluable,"of great value, costly, precious, priceless",adjective
3212,invariable,"not variable, constant",adjective
3213,invasion,a military action of armed forces entering another territory,noun
3214,invective,"vehement or violent denunciation, censure, or reproach",noun
3215,inveigh,to protest strongly or attack vehemently with words,verb
3216,inveigle,"to convert, convince or win over with flattery or wiles",verb
3217,inventive,"of, or relating to invention",adjective
3218,inverse,"reversed position, direction, or tendency",adjective
3219,inversion,the action of inverting,noun
3220,invert,to turn (something) upside down or inside out,verb
3221,investigator,one who investigates,noun
3222,investor,a person who invests money in order to make a profit,noun
3223,inveterate,"settled or confirmed in a habit, practice, or feeling",adjective
3224,invidious,calculated to create ill will or resentment or give offense,adjective
3225,invigorate,"to impart vigor, strength, or vitality to",verb
3226,invincible,"impossible to defeat, destroy or kill",adjective
3227,inviolable,not susceptible of violence or of being profaned/corrupted,adjective
3228,invocation,the act of calling for the presence of some superior being,noun
3229,invoke,"to call upon (a person, especially a god) for help",verb
3230,involuntary,"without intention, unintentional",adjective
3231,involution,"entanglement, a spiralling inwards, intricacy",noun
3232,involve,"to roll or fold up, to wind round, to entwine",verb
3233,invulnerable,"incapable of being wounded, or of receiving injury",adjective
3234,inwardly,"in or on, or with reference to, the inside or inner part",adjective
3235,iota,"the ninth, and smallest, letter of the greek alphabet",noun
3236,irascible,"easily provoked to anger, very irritable",adjective
3237,irate,"extremely angry, wrathful, enraged",adjective
3238,ire,"to anger, to fret, to irritate",verb
3239,iridescent,"producing a display of lustrous, rainbow-like colors",adjective
3240,irk,"to irritate, annoy, bother",verb
3241,irksome,"disagreeable or troublesome, bothersome, annoying",adjective
3242,irony,use of words to convey meaning opposite the literal meaning,noun
3243,irradiance,incident flux of radiant energy per unit area,noun
3244,irradiate,"to throw rays of light upon, to illuminate, to brighten",verb
3245,irrational,"not rational, unfounded or nonsensical",adjective
3246,irreducible,not able to be reduced or lessened,adjective
3247,irrefragable,"which cannot be refuted, indisputable, clearly right",adjective
3248,irrefragable,not able to be refuted or disproved,adjective
3249,irrefrangible,"not to broken or transgressed, inviolable",adjective
3250,irrefutable,"undeniable, unable to be disproved or refuted",adjective
3251,irrelevant,"not related, not applicable, unimportant, not connected",adjective
3252,irreligious,contrary to religious beliefs and practices,adjective
3253,irreparable,"incapable of being repaired, amended, cured or rectified",adjective
3254,irrepressible,not containable or controllable,adjective
3255,irreproachable,"free from blame, not open to reproach or criticism",adjective
3256,irresistible,not able to be resisted,adjective
3257,irresolute,undecided or unsure how to act,adjective
3258,irresponsible,lacking a sense of responsibility,adjective
3259,irreverent,"lacking proper respect or seriousness, sarcastic",adjective
3260,irreversible,incapable of being reversed or turned about or back,adjective
3261,irrevocable,"unable to be retracted or reversed, final",adjective
3262,irrhetorical,not rhetorical,adjective
3263,irrigate,to supply farmland with water,verb
3264,irritable,capable of being irritated,adjective
3265,irritancy,the quality of being irritant or irritating,noun
3266,irritate,"to provoke impatience, anger, or displeasure",verb
3267,irruption,"the action of irrupting or breaking into, a violent entry",noun
3268,isle,an island,noun
3269,islet,a small island,noun
3270,isobar,atoms having equal weight but different atomis numbers,noun
3271,isochronous,happening at regular intervals,adjective
3272,isolate,to set apart or cut off from others,verb
3273,isothermal,of a process that takes place at constant temperature,adjective
3274,itinerary,a route or proposed route of a journey,noun
3275,itinerate,to travel from place to place,verb
3276,jaded,dulled or satiated by overindulgence,verb
3277,jargon,a technical terminology unique to a particular subject,noun
3278,jaundice,"to color by prejudice or envy, to prejudice",verb
3279,jaunt,"to ramble here and there, to stroll, to make an excursion",verb
3280,jeer,to utter sarcastic or mocking comments,verb
3281,jejune,"without interest or significance, dull",adjective
3282,jeopardy,"danger of loss, harm, or failure",noun
3283,jeremiad,a prolonged lamentation or mournful complaint,noun
3284,jettison,to cast (goods) overboard in order to lighten a vessel,verb
3285,jingo,one who supports policy favouring war,noun
